Codigo Convocatoria,Nombre del Oferente,Area del Conocimiento,Nombre del programa,Nombre del País,Fecha de Recepción - mm/dd/aaaa,Perfil del Aplicante,Objetivo del Programa
2259319,GOBIERNO DE LA INDIA,ADMINISTRACIÓN - ECONOMÍA,TRAINERS TRAINING ON PROMOTION OF SELF EMPLOYMENT AND SKILL DEVELOPMENT (TT-PSESD)-NEW,India (República de India),12/05/2018 12:00:00 AM,"El programa está dirigido a profesionales universitarios en administración- economía o áreas afines que se desempeñen en el área del programa- en entidades públicas o privadas o que cuenten con experiencia profesional en temas relacionados con el desarrollo y gestión de recursos humanos- autoempleo y/o la promoción del emprendimiento.  REQUISITOS: El aspirante debe ser mayor de 25 años y menor de 45 años- tener un promedio mínimo de notas de pregrado de 3-7/5-0  contar con mínimo 5 años de experiencia profesional en el área del curso y tener buenos conocimientos del idioma inglés con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- MET B2) u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. NO SE RECIBEN APLICACIONES DE CANDIDATOS QUE HAYAN RECIBIDO CAPACITACIÓN A TRAVÉS DEL PROGRAMA ITEC- DEL GOBIERNO DE LA INDIA ANTERIORMENTE. Los candidatos deben gozar de buena salud física y mental. Los Preseleccionados deberán presentar entrevista en la Embajada de la India si la embajada lo considera pertinente. LOS ASPIRANTES DEBEN ENVIAR 3 PAQUETES DE LOS DOCUMENTOS REQUERIDOS POR SEPARADO- EXACTAMENTE IGUALES Y CADA PAQUETE DEBE CONTENER LOS DOCUMENTOS EN EL ORDEN ESTABLECIDO EN LA PRESENTE CONVOCATORIA. LOS CANDIDATOS DEBEN DILIGENCIAR ABSOLUTAMENTE TODOS LOS ESPACIOS DE LOS FORMULARIOS FÍSICOS Y VIRTUALES SIN EXCEPCIÓN- NO ES ACEPTABLE LA ABREVIATURA ""N/A""- SE DEBE PONER NO APLICA. LOS EXPEDIENTES QUE SE RECIBAN SIN CUMPLIR DICHAS CONDICIONES- NO SERÁN TENIDOS EN CUENTA Y QUEDARÁN EXCLUIDOS DEL PROCESO.",Brindar a los participantes conocimientos y actualización en el campo del curso ofrecido.
2259119,GOBIERNO DE LA INDIA,ADMINISTRACIÓN - ECONOMÍA,BUDGETING ACCOUNTING AND FINANCIAL MANAGEMENT IN  GOVERNMENT SECTOR,India (República de India),10/10/2018 12:00:00 AM,"El programa está dirigido a profesionales en administración- economía o áreas afines que se desempeñen en el área del programa- en entidades públicas o privadas o que cuenten con experiencia profesional en presupuesto- contabilidad y gestión financiera.   REQUISITOS: El aspirante debe ser mayor de 25 años y menor de 45 años- tener un promedio mínimo de notas de pregrado de 3-7/5-0  contar con mínimo 5 años de experiencia profesional en el área del curso y tener buenos conocimientos del idioma inglés con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- MET B2) u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. NO SE RECIBEN APLICACIONES DE CANDIDATOS QUE HAYAN RECIBIDO CAPACITACIÓN A TRAVÉS DEL PROGRAMA ITEC- DEL GOBIERNO DE LA INDIA ANTERIORMENTE. Los candidatos deben gozar de buena salud física y mental. Los Preseleccionados deberán presentar entrevista en la Embajada de la India si la embajada lo considera pertinente. LOS ASPIRANTES DEBEN ENVIAR 3 PAQUETES DE LOS DOCUMENTOS REQUERIDOS POR SEPARADO- EXACTAMENTE IGUALES Y CADA PAQUETE DEBE CONTENER LOS DOCUMENTOS EN EL ORDEN ESTABLECIDO EN LA PRESENTE CONVOCATORIA. LOS CANDIDATOS DEBEN DILIGENCIAR ABSOLUTAMENTE TODOS LOS ESPACIOS DE LOS FORMULARIOS FÍSICOS Y VIRTUALES SIN EXCEPCIÓN- NO ES ACEPTABLE LA ABREVIATURA ""N/A""- SE DEBE PONER NO APLICA. LOS EXPEDIENTES QUE SE RECIBAN SIN CUMPLIR DICHAS CONDICIONES- NO SERÁN TENIDOS EN CUENTA Y QUEDARÁN EXCLUIDOS DEL PROCESO.",Brindar a los participantes conocimientos y actualización en el campo del curso ofrecido.
2258619,GOBIERNO DE LA INDIA,CIENCIAS SOCIALES,SUSTAINABLE AGRICULTURE STRATEGIES FOR RURAL DEVELOPMENT,India (República de India),09/28/2018 12:00:00 AM,"El programa está dirigido a profesionales universitarios en ciencias sociales o áreas afines que se desempeñen en entidades públicas o privadas o que tengan experiencia profesional en temas inherentes al desarrollo del sector agrícola y alianzas con otros sectores. REQUISITOS: El aspirante debe ser mayor de 25 años y menor de 45 años- tener un promedio mínimo de notas de pregrado 3-7/5-0  contar con mínimo 5 años de experiencia profesional en el área del curso y tener buenos conocimientos del idioma inglés con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- MET B2) u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. NO SE RECIBEN APLICACIONES DE CANDIDATOS QUE HAYAN RECIBIDO CAPACITACIÓN A TRAVÉS DEL PROGRAMA ITEC- DEL GOBIERNO DE LA INDIA ANTERIORMENTE. Los candidatos deben gozar de buena salud física y mental. Los Preseleccionados deberán presentar entrevista en la Embajada de la India si la embajada lo considera pertinente. LOS ASPIRANTES DEBEN ENVIAR 3 PAQUETES DE LOS DOCUMENTOS REQUERIDOS POR SEPARADO- EXACTAMENTE IGUALES Y CADA PAQUETE DEBE CONTENER LOS DOCUMENTOS EN EL ORDEN ESTABLECIDO EN LA PRESENTE CONVOCATORIA. LOS CANDIDATOS DEBEN DILIGENCIAR ABSOLUTAMENTE TODOS LOS ESPACIOS DE LOS FORMULARIOS FÍSICOS Y VIRTUALES SIN EXCEPCIÓN- NO ES ACEPTABLE LA ABREVIATURA ""N/A""- SE DEBE PONER NO APLICA. LOS EXPEDIENTES QUE SE RECIBAN SIN CUMPLIR DICHAS CONDICIONES- NO SERÁN TENIDOS EN CUENTA Y QUEDARÁN EXCLUIDOS DEL PROCESO.",Brindar a los participantes conocimientos y actualización en el campo del curso ofrecido.
2259519,GOBIERNO DE LA INDIA,ADMINISTRACIÓN - ECONOMÍA,ENTREPRENEURSHIP FOR SMALL BUSINESS TRAINERS/PROMOTERS PROGRAMME (ESB-TP),India (República de India),09/28/2018 12:00:00 AM,"El programa está dirigido a profesionales en ciencias sociales- administración- ingeniería o áreas afines que se desempeñen en el área del programa- en entidades públicas o privadas o que cuenten con experiencia profesional en temas inherentes a la promoción del emprendimiento y el desarrollo de pequeñas empresas.  REQUISITOS: El aspirante debe ser mayor de 25 años y menor de 45 años- tener un promedio mínimo de notas de pregrado de 3-7/5-0  contar con mínimo 5 años de experiencia profesional en el área del curso y tener buenos conocimientos del idioma inglés con prueba escrita- con puntaje mínimo TOEFL (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- MET B2) u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. NO SE RECIBEN APLICACIONES DE CANDIDATOS QUE HAYAN RECIBIDO CAPACITACIÓN A TRAVÉS DEL PROGRAMA ITEC- DEL GOBIERNO DE LA INDIA ANTERIORMENTE. Los candidatos deben gozar de buena salud física y mental. Los Preseleccionados deberán presentar entrevista en la Embajada de la India si la embajada lo considera pertinente. LOS ASPIRANTES DEBEN ENVIAR 3 PAQUETES DE LOS DOCUMENTOS REQUERIDOS POR SEPARADO- EXACTAMENTE IGUALES Y CADA PAQUETE DEBE CONTENER LOS DOCUMENTOS EN EL ORDEN ESTABLECIDO EN LA PRESENTE CONVOCATORIA. LOS CANDIDATOS DEBEN DILIGENCIAR ABSOLUTAMENTE TODOS LOS ESPACIOS DE LOS FORMULARIOS FÍSICOS Y VIRTUALES SIN EXCEPCIÓN- NO ES ACEPTABLE LA ABREVIATURA ""N/A""- SE DEBE PONER NO APLICA. LOS EXPEDIENTES QUE SE RECIBAN SIN CUMPLIR DICHAS CONDICIONES- NO SERÁN TENIDOS EN CUENTA Y QUEDARÁN EXCLUIDOS DEL PROCESO.",Brindar a los participantes conocimientos y actualización en el campo del curso ofrecido.
2259419,GOBIERNO DE LA INDIA,ADMINISTRACIÓN - ECONOMÍA,SMALL BUSINESS FINANCIAL MANAGEMENT,India (República de India),11/02/2018 12:00:00 AM,"El programa está dirigido a profesionales en diferentes áreas que se desempeñen como independientes en el área del programa o que cuenten con experiencia profesional relacionada con el emprendimiento- planificación- desarrollo y promoción de pequeñas empresas.  REQUISITOS: El aspirante debe ser mayor de 25 años y menor de 45 años  contar con mínimo 5 años de experiencia laboral en el área del curso y tener buenos conocimientos del idioma inglés con prueba escrita- con puntaje mínimo TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- MET B2) u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. NO SE RECIBEN APLICACIONES DE CANDIDATOS QUE HAYAN RECIBIDO CAPACITACIÓN A TRAVÉS DEL PROGRAMA ITEC- DEL GOBIERNO DE LA INDIA ANTERIORMENTE. Los candidatos deben gozar de buena salud física y mental. Los Preseleccionados deberán presentar entrevista en la Embajada de la India si la embajada lo considera pertinente. LOS ASPIRANTES DEBEN ENVIAR 3 PAQUETES DE LOS DOCUMENTOS REQUERIDOS POR SEPARADO- EXACTAMENTE IGUALES Y CADA PAQUETE DEBE CONTENER LOS DOCUMENTOS EN EL ORDEN ESTABLECIDO EN LA PRESENTE CONVOCATORIA. LOS CANDIDATOS DEBEN DILIGENCIAR ABSOLUTAMENTE TODOS LOS ESPACIOS DE LOS FORMULARIOS FÍSICOS Y VIRTUALES SIN EXCEPCIÓN- NO ES ACEPTABLE LA ABREVIATURA ""N/A""- SE DEBE PONER NO APLICA. LOS EXPEDIENTES QUE SE RECIBAN SIN CUMPLIR DICHAS CONDICIONES- NO SERÁN TENIDOS EN CUENTA Y QUEDARÁN EXCLUIDOS DEL PROCESO.",Brindar a los participantes conocimientos y actualización en el campo del curso ofrecido.
2259619,GOBIERNO DE LA INDIA,ADMINISTRACIÓN - ECONOMÍA,INNOVATIVE LEADERSHIP FOR ORGANIZATION GROWTH AND EXCELLENCE (ILOGE),India (República de India),10/12/2018 12:00:00 AM,"El programa está dirigido a profesionales en administración- economía o áreas afines que se desempeñen en el área del programa- en entidades públicas o privadas o que cuenten con experiencia profesional relacionada en temas inherentes al liderazgo innovador para el crecimiento y la excelencia de las organizaciones.  REQUISITOS: El aspirante debe ser mayor de 25 años y menor de 45 años- tener un promedio mínimo de notas de pregrado de 3-7/5-0  contar con mínimo 5 años de experiencia profesional en el área del curso y tener buenos conocimientos del idioma inglés con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- MET B2) u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. NO SE RECIBEN APLICACIONES DE CANDIDATOS QUE HAYAN RECIBIDO CAPACITACIÓN A TRAVÉS DEL PROGRAMA ITEC- DEL GOBIERNO DE LA INDIA ANTERIORMENTE. Los candidatos deben gozar de buena salud física y mental. Los Preseleccionados deberán presentar entrevista en la Embajada de la India si la embajada lo considera pertinente. LOS ASPIRANTES DEBEN ENVIAR 3 PAQUETES DE LOS DOCUMENTOS REQUERIDOS POR SEPARADO- EXACTAMENTE IGUALES Y CADA PAQUETE DEBE CONTENER LOS DOCUMENTOS EN EL ORDEN ESTABLECIDO EN LA PRESENTE CONVOCATORIA. LOS CANDIDATOS DEBEN DILIGENCIAR ABSOLUTAMENTE TODOS LOS ESPACIOS DE LOS FORMULARIOS FÍSICOS Y VIRTUALES SIN EXCEPCIÓN- NO ES ACEPTABLE LA ABREVIATURA ""N/A""- SE DEBE PONER NO APLICA. LOS EXPEDIENTES QUE SE RECIBAN SIN CUMPLIR DICHAS CONDICIONES- NO SERÁN TENIDOS EN CUENTA Y QUEDARÁN EXCLUIDOS DEL PROCESO.",Brindar a los participantes conocimientos y actualización en el campo del curso ofrecido.
2259219,GOBIERNO DE LA INDIA,ADMINISTRACIÓN - INGENIERÍA Y AFINES,WOMEN AND YOUTH ENTREPRENEURSHIP IN WATER SUPPLY AND SANITATION DEVELOPMENT - TRAINERS/PROMOTERS PROGRAMME (WYEWSSD),India (República de India),12/03/2018 12:00:00 AM,"El programa está dirigido a profesionales universitarios en administración- ingeniería- ciencias sociales o áreas afines que se desempeñen en el área del programa- en entidades públicas o privadas o que cuenten con experiencia profesional relacionada con la gestión del agua y el saneamiento- sector agrícola- salud y/o higiene. Podrán participar también mujeres emprendedoras- funcionarios que trabajan / participan en organizaciones de desarrollo industrial y de pequeñas empresas- departamentos de planificación- instituciones de investigación y/o ONG's.  REQUISITOS: El aspirante debe ser mayor de 25 años y menor de 45 años- tener un promedio mínimo de notas de pregrado de 3-7/5-0  contar con mínimo 5 años de experiencia profesional en el área del curso y tener buenos conocimientos del idioma inglés con prueba escrita- con puntaje mínimo TOEFL (IBT) 65 puntos- CBT: 183 puntos- IELTS: 5.5- MET B2) u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. NO SE RECIBEN APLICACIONES DE CANDIDATOS QUE HAYAN RECIBIDO CAPACITACIÓN A TRAVÉS DEL PROGRAMA ITEC- DEL GOBIERNO DE LA INDIA ANTERIORMENTE. Los candidatos deben gozar de buena salud física y mental. Los Preseleccionados deberán presentar entrevista en la Embajada de la India si la embajada lo considera pertinente.LOS ASPIRANTES DEBEN ENVIAR 3 PAQUETES DE LOS DOCUMENTOS REQUERIDOS POR SEPARADO- EXACTAMENTE IGUALES Y CADA PAQUETE DEBE CONTENER LOS DOCUMENTOS EN EL ORDEN ESTABLECIDO EN LA PRESENTE CONVOCATORIA. LOS CANDIDATOS DEBEN DILIGENCIAR ABSOLUTAMENTE TODOS LOS ESPACIOS DE LOS FORMULARIOS FÍSICOS Y VIRTUALES SIN EXCEPCIÓN- NO ES ACEPTABLE LA ABREVIATURA ""N/A""- SE DEBE PONER NO APLICA. LOS EXPEDIENTES QUE SE RECIBAN SIN CUMPLIR DICHAS CONDICIONES- NO SERÁN TENIDOS EN CUENTA Y QUEDARÁN EXCLUIDOS DEL PROCESO.",Brindar a los participantes conocimientos y actualización en el campo del curso ofrecido.
2260219,GOBIERNO DE LA INDIA,ADMINISTRACIÓN - ECONOMÍA,BANK FINANCIAL MANAGEMENT FOCUS: RISK MANAGEMENT AND BASEL II & III ACCORD,India (República de India),10/10/2018 12:00:00 AM,"El programa está dirigido a profesionales en administración- economía- ingeniería o áreas afines que se desempeñen en el área del programa- en entidades públicas o privadas o que cuenten con experiencia profesional en temas relacionados con instituciones financieras- sector bancario y/o departamentos gubernamentales con enfoque económico como Ministerio de Hacienda o Banco de la República.  REQUISITOS: El aspirante debe ser mayor de 25 años y menor de 45 años- tener un promedio mínimo de notas de pregrado de 3-7/5-0  contar con mínimo 5 años de experiencia profesional en el área del curso y tener buenos conocimientos del idioma inglés con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- MET B2) u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. NO SE RECIBEN APLICACIONES DE CANDIDATOS QUE HAYAN RECIBIDO CAPACITACIÓN A TRAVÉS DEL PROGRAMA ITEC- DEL GOBIERNO DE LA INDIA ANTERIORMENTE. Los candidatos deben gozar de buena salud física y mental. Los Preseleccionados deberán presentar entrevista en la Embajada de la India si la embajada lo considera pertinente. LOS ASPIRANTES DEBEN ENVIAR 3 PAQUETES DE LOS DOCUMENTOS REQUERIDOS POR SEPARADO- EXACTAMENTE IGUALES Y CADA PAQUETE DEBE CONTENER LOS DOCUMENTOS EN EL ORDEN ESTABLECIDO EN LA PRESENTE CONVOCATORIA. LOS CANDIDATOS DEBEN DILIGENCIAR ABSOLUTAMENTE TODOS LOS ESPACIOS DE LOS FORMULARIOS FÍSICOS Y VIRTUALES SIN EXCEPCIÓN- NO ES ACEPTABLE LA ABREVIATURA ""N/A""- SE DEBE PONER NO APLICA. LOS EXPEDIENTES QUE SE RECIBAN SIN CUMPLIR DICHAS CONDICIONES- NO SERÁN TENIDOS EN CUENTA Y QUEDARÁN EXCLUIDOS DEL PROCESO.",Brindar a los participantes conocimientos y actualización en el campo del curso ofrecido.
2256719,GOBIERNO DE LA INDIA,INGENIERIA Y AFINES,OPTICAL FIBER CABLE SYSTEMS AND MODERN TELECOM TRANSPORT TECHNOLOGIES,India (República de India),12/10/2018 12:00:00 AM,"El programa está dirigido a profesionales universitarios en ingeniería- tecnologías de la información o áreas afines- que se desempeñen en entidades públicas o privadas o que cuenten con experiencia profesional en el área del programa a realizar.  REQUISITOS: El candidato debe ser mayor de 25 años y menor de 45 años- tener un promedio mínimo de notas de pregrado de 3-7/5-0  contar con mínimo 5 años de experiencia profesional en el área del curso y tener buenos conocimientos del idioma inglés con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- MET B2) u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. NO SE RECIBEN APLICACIONES DE CANDIDATOS QUE HAYAN RECIBIDO CAPACITACIÓN A TRAVÉS DEL PROGRAMA ITEC- DEL GOBIERNO DE LA INDIA ANTERIORMENTE. Los candidatos deben gozar de buena salud física y mental. Los Preseleccionados deberán presentar entrevista en la Embajada de la India si la embajada lo considera pertinente. LOS ASPIRANTES DEBEN ENVIAR 3 PAQUETES DE LOS DOCUMENTOS REQUERIDOS POR SEPARADO- EXACTAMENTE IGUALES Y CADA PAQUETE DEBE CONTENER LOS DOCUMENTOS EN EL ORDEN ESTABLECIDO EN LA PRESENTE CONVOCATORIA. LOS CANDIDATOS DEBEN DILIGENCIAR ABSOLUTAMENTE TODOS LOS ESPACIOS DE LOS FORMULARIOS FÍSICOS Y VIRTUALES SIN EXCEPCIÓN- NO ES ACEPTABLE LA ABREVIATURA ""N/A""- SE DEBE PONER NO APLICA. LOS EXPEDIENTES QUE SE RECIBAN SIN CUMPLIR DICHAS CONDICIONES- NO SERÁN TENIDOS EN CUENTA Y QUEDARÁN EXCLUIDOS DEL PROCESO.",Brindar a los participantes conocimientos y actualización en el campo del curso ofrecido.
2257419,GOBIERNO DE LA INDIA,CIENCIAS SOCIALES,SCIENCE DIPLOMACY,India (República de India),10/12/2018 12:00:00 AM,"El programa está dirigido a profesionales universitarios en ciencias sociales o áreas afines que se desempeñen en entidades públicas o privadas o que cuenten con experiencia profesional relacionada con ciencia y tecnología- diplomacia- administración y cooperación Sur - Sur y Sur - Norte. REQUISITOS: El candidato debe ser mayor de 25 años y menor de 45 años- tener un promedio mínimo de notas de pregrado de 3-7/5-0  contar con mínimo 5 años de experiencia profesional en el área del curso y tener buenos conocimientos del idioma inglés con prueba escrita- con puntaje mínimo TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- MET B2) u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. NO SE RECIBEN APLICACIONES DE CANDIDATOS QUE HAYAN RECIBIDO CAPACITACIÓN A TRAVÉS DEL PROGRAMA ITEC- DEL GOBIERNO DE LA INDIA ANTERIORMENTE. Los candidatos deben gozar de buena salud física y mental. Los Preseleccionados deberán presentar entrevista en la Embajada de la India si la embajada lo considera pertinente. LOS ASPIRANTES DEBEN ENVIAR 3 PAQUETES DE LOS DOCUMENTOS REQUERIDOS POR SEPARADO- EXACTAMENTE IGUALES Y CADA PAQUETE DEBE CONTENER LOS DOCUMENTOS EN EL ORDEN ESTABLECIDO EN LA PRESENTE CONVOCATORIA. LOS CANDIDATOS DEBEN DILIGENCIAR ABSOLUTAMENTE TODOS LOS ESPACIOS DE LOS FORMULARIOS FÍSICOS Y VIRTUALES SIN EXCEPCIÓN- NO ES ACEPTABLE LA ABREVIATURA ""N/A""- SE DEBE PONER NO APLICA. LOS EXPEDIENTES QUE SE RECIBAN SIN CUMPLIR DICHAS CONDICIONES- NO SERÁN TENIDOS EN CUENTA Y QUEDARÁN EXCLUIDOS DEL PROCESO.",Brindar a los participantes conocimientos y actualización en el campo del curso ofrecido.
